Timestamp,voltage_1,voltage_2,voltage_3
42669.6768146093,0.197796,-0.000334,0.220379
42669.6768146209,0.197483,-0.000334,0.219129
42669.6768146324,0.197796,0.000291,0.221941
42669.676814644,0.197483,-0.000334,0.222254
42669.6768146556,0.197796,-0.000646,0.221629
42669.6768146672,0.198108,-0.000646,0.222879
42669.6768146787,0.19717,-0.000334,0.221629
42669.6768146903,0.197796,-0.000334,0.222566
42669.6768147019,0.197796,-0.000646,0.221941
42669.6768147135,0.197483,-0.000646,0.222566
42669.676814725,0.197483,-0.000334,0.219754
42669.6768147366,0.197483,-0.000334,0.218192
42669.6768147482,0.197796,-0.000958,0.219442
42669.6768147598,0.197483,-2.2e-05,0.219754
42669.6768147713,0.198421,-0.000334,0.224754
42669.6768147829,0.197796,-2.2e-05,0.223816
42669.6768147945,0.197483,-0.000334,0.222879
42669.6768148061,0.19717,-0.000334,0.221629
42669.6768148176,0.197796,-2.2e-05,0.221941
42669.6768148292,0.197796,-2.2e-05,0.221629
42669.6768148408,0.197796,-0.000334,0.220379
42669.6768148523,0.197796,0.000291,0.220379
42669.6768148639,0.197483,-0.000646,0.221629
42669.6768148755,0.197796,-2.2e-05,0.222254
42669.6768148871,0.197483,-0.000334,0.221316
42669.6768148986,0.197796,-0.000646,0.221004
42669.6768149102,0.197483,-0.000334,0.221316
42669.6768149218,0.197796,-0.000646,0.222254
42669.6768149334,0.197483,-2.2e-05,0.221941
42669.6768149449,0.197796,-0.000334,0.222879
42669.6768149565,0.197796,-0.000646,0.220067
42669.6768149681,0.197796,-0.000334,0.218504
42669.6768149797,0.198108,-2.2e-05,0.220067
42669.6768149912,0.19717,0.000291,0.219129
42669.6768150028,0.19717,-0.000334,0.222566
42669.6768150144,0.197796,-2.2e-05,0.223816
42669.676815026,0.197483,-0.000334,0.223191
42669.6768150375,0.197796,0.000291,0.221941
42669.6768150491,0.197483,-0.000334,0.221316
42669.6768150607,0.197483,-0.000646,0.221629
42669.6768150723,0.197483,-2.2e-05,0.221004
